loss,output_1_loss,output_2_loss,output_1_mse,output_2_mse,val_loss,val_output_1_loss,val_output_2_loss,val_output_1_mse,val_output_2_mse
0.11070166528224945,0.02710326574742794,0.08359842747449875,0.02710326574742794,0.08359842747449875,0.34807443618774414,0.06080060079693794,0.2872737646102905,0.06080060079693794,0.2872737646102905
0.04980216547846794,0.014260277152061462,0.035541899502277374,0.014260277152061462,0.035541899502277374,0.30112749338150024,0.05737632140517235,0.2437511384487152,0.05737632140517235,0.2437511384487152
0.03902877867221832,0.0129542862996459,0.026074502617120743,0.0129542862996459,0.026074502617120743,0.2808442711830139,0.039453160017728806,0.24139106273651123,0.039453160017728806,0.24139106273651123
0.03323548659682274,0.01152501255273819,0.021710483357310295,0.01152501255273819,0.021710483357310295,0.2697368860244751,0.041280146688222885,0.22845672070980072,0.041280146688222885,0.22845672070980072
0.03036513924598694,0.01130604837089777,0.019059106707572937,0.01130604837089777,0.019059106707572937,0.22058889269828796,0.030301867052912712,0.1902870386838913,0.030301867052912712,0.1902870386838913
0.028092006221413612,0.010877396911382675,0.017214609310030937,0.010877396911382675,0.017214609310030937,0.220340296626091,0.03436344116926193,0.18597690761089325,0.03436344116926193,0.18597690761089325
0.02720235474407673,0.010415145196020603,0.016787217929959297,0.010415145196020603,0.016787217929959297,0.20214509963989258,0.019805939868092537,0.18233922123908997,0.019805939868092537,0.18233922123908997
0.025005441159009933,0.00985307339578867,0.015152370557188988,0.00985307339578867,0.015152370557188988,0.14749540388584137,0.02190648950636387,0.12558890879154205,0.02190648950636387,0.12558890879154205
0.02306470461189747,0.009219804778695107,0.01384490355849266,0.009219804778695107,0.01384490355849266,0.14179998636245728,0.024108069017529488,0.11769193410873413,0.024108069017529488,0.11769193410873413
0.02269456349313259,0.009146835654973984,0.013547745533287525,0.009146835654973984,0.013547745533287525,0.1342942714691162,0.03163276985287666,0.10266149044036865,0.03163276985287666,0.10266149044036865
0.02149032987654209,0.008678107522428036,0.012812220491468906,0.008678107522428036,0.012812220491468906,0.1412295252084732,0.028083140030503273,0.11314637959003448,0.028083140030503273,0.11314637959003448
0.020251603797078133,0.008585522882640362,0.011666074395179749,0.008585522882640362,0.011666074395179749,0.088548444211483,0.018370280042290688,0.07017816603183746,0.018370280042290688,0.07017816603183746
0.019936367869377136,0.008042247965931892,0.011894122697412968,0.008042247965931892,0.011894122697412968,0.07588198035955429,0.012730195187032223,0.0631517693400383,0.012730195187032223,0.0631517693400383
0.019667597487568855,0.008114556781947613,0.011553044430911541,0.008114556781947613,0.011553044430911541,0.06874499469995499,0.01440051943063736,0.054344478994607925,0.01440051943063736,0.054344478994607925
0.01897786557674408,0.007543407846242189,0.01143445260822773,0.007543407846242189,0.01143445260822773,0.04495357349514961,0.009842757135629654,0.03511083126068115,0.009842757135629654,0.03511083126068115
0.018586521968245506,0.0073039173148572445,0.011282610706984997,0.0073039173148572445,0.011282610706984997,0.03626072779297829,0.010108353570103645,0.02615237608551979,0.010108353570103645,0.02615237608551979
